Prunus cerasifera,Cherry-plum,110
Colias eurytheme,Orange Sulphur,110
Petradoria pumila,Rock Goldenrod,110
Diplolepis rosae,Mossy Rose Gall Wasp,110
Bassaniana utahensis,Utah Crab Spider,110
Mephitis mephitis,Striped Skunk,109
Coprinellus micaceus,mica cap,109
Koelreuteria paniculata,golden rain tree,109
Syringa vulgaris,common lilac,109
Linum kingii,King's Flax,109
Tharsalea helloides,Purplish Copper,109
Coccothraustes vespertinus,Evening Grosbeak,108
Pooecetes gramineus,Vesper Sparrow,108
Erynnis telemachus,Rocky Mountain Duskywing,108
Astragalus preussii,Preuss' Milkvetch,107
Fritillaria atropurpurea,spotted fritillary,107
Dissosteira carolina,Carolina Grasshopper,107
Delphinium barbeyi,Subalpine Larkspur,107
Bryum argenteum,Silvery Bryum,106
Penstemon comarrhenus,Dusty Beardtongue,106
Urtica dioica,great stinging nettle,105
Erigeron utahensis,Utah Fleabane,105
Euphydryas anicia,Anicia Checkerspot,105
Taxidea taxus,American Badger,104
Gaillardia pulchella,Indian blanket,104
Robinia pseudoacacia,black locust,104
Reduvius personatus,Masked Hunter,104
Ambrosia acanthicarpa,Flatspine Bursage,104
Linum perenne,perennial flax,104
Phacelia heterophylla,virgate scorpionweed,104
Dimorphocarpa wislizeni,Touristplant,104
Chlorochroa ligata,Conchuela Bug,104
Protoparmeliopsis muralis,Stonewall Rim Lichen,104
Callisaurus draconoides,Zebra-tailed Lizard,103
Hymenoxys hoopesii,owlsclaws,103
Centranthus ruber,Red Valerian,103
Micranthes odontoloma,Brook Saxifrage,103
Ratibida columnifera,upright prairie coneflower,103
Humulus lupulus,common hops,102
Rubus idaeus,red raspberry,102
Myosotis sylvatica,Wood Forget-me-not,102
Astragalus desperatus,Rimrock Milkvetch,102
Sphyrapicus nuchalis,Red-naped Sapsucker,101
Cirsium neomexicanum,New Mexico thistle,101
Clematis columbiana,blue clematis,101
Hymenoxys richardsonii,Pingue Rubberweed,101
Salvelinus fontinalis,Brook Trout,100
Machaeranthera tanacetifolia,Tahoka daisy,100
Anasa tristis,Squash Bug,100
